id,user_id,balance
A00000,U00403,89750.17
A00001,U00585,86500.35
A00002,U00129,37410.89
A00003,U00118,12055.53
A00004,U00755,76156.63
A00005,U00521,23677.34
A00006,U00572,52326.23
A00007,U00911,92037.97
A00008,U00394,59304.69
A00009,U00179,82917.13
A00010,U00503,71397.9
A00011,U00693,106.57
A00012,U00056,21004.6
A00013,U00277,84969.4
A00014,U00979,24868.91
A00015,U00970,55431.87
A00016,U00219,42283.67
A00017,U00784,10205.02
A00018,U00288,94650.35
A00019,U00876,17683.08
A00020,U00536,3790.59
A00021,U00192,86174.46
A00022,U00337,21329.16
A00023,U00499,14690.38
A00024,U00726,95573.45
A00025,U00486,81271.38
A00026,U00620,58066.0
A00027,U00997,34704.89
A00028,U00731,75687.78
A00029,U00382,20971.47
A00030,U00201,82978.93
A00031,U00578,58313.63
A00032,U00229,21931.43
A00033,U00693,59240.84
A00034,U00209,64626.16
A00035,U00593,10643.93
A00036,U00507,12884.08
A00037,U00211,24932.05
A00038,U00664,46591.94
A00039,U00563,9697.24
A00040,U00140,15052.34
A00041,U00027,37043.72
A00042,U00286,10941.77
A00043,U00618,83737.4
A00044,U00080,65250.53
A00045,U00651,31490.46
A00046,U00699,88305.99
A00047,U00582,71347.44
A00048,U00135,93846.34
A00049,U00876,96913.76
A00050,U00542,93385.23
A00051,U00769,30330.56
A00052,U00104,351.26
A00053,U00564,42308.62
A00054,U00633,95470.72
A00055,U00292,85073.4
A00056,U00137,48090.13
A00057,U00662,32930.82
A00058,U00218,4996.06
A00059,U00806,70207.11
A00060,U00363,77537.62
A00061,U00185,67671.91
A00062,U00465,8465.34
A00063,U00705,3689.41
A00064,U00869,82256.38
A00065,U00043,75890.38
A00066,U00186,45146.32
A00067,U00315,55363.34
A00068,U00869,14014.54
A00069,U00534,35309.08
A00070,U00807,98061.98
A00071,U00542,57138.31
A00072,U00994,21055.96
A00073,U00628,57453.36
A00074,U00020,61966.6
A00075,U00355,28660.63
A00076,U00523,64991.24
A00077,U00941,13843.15
A00078,U00200,39270.99
A00079,U00269,76098.24
A00080,U00318,21867.78
A00081,U00856,45651.97
A00082,U00858,3507.59
A00083,U00309,39741.11
A00084,U00854,35427.98
A00085,U00526,43325.12
A00086,U00041,63037.07
A00087,U00533,16233.99
A00088,U00770,94310.84
A00089,U00881,39407.59
A00090,U00296,8696.6
A00091,U00039,10551.92
A00092,U00905,85279.06
A00093,U00393,5772.59
A00094,U00374,89783.58
A00095,U00163,6782.05
A00096,U00904,78277.93
A00097,U00387,73373.75
A00098,U00304,83069.53
A00099,U00001,81878.42
A00100,U00192,12556.12
A00101,U00597,88923.17
A00102,U00748,90681.81
A00103,U00196,89819.01
A00104,U00316,52058.26
A00105,U00029,37134.19
A00106,U00806,85335.95
A00107,U00265,46288.22
A00108,U00478,92022.63
A00109,U00689,21096.73
A00110,U00211,14554.38
A00111,U00529,75397.92
A00112,U00281,21231.33
A00113,U00207,84134.59
A00114,U00867,21831.85
A00115,U00321,53650.18
A00116,U00853,86950.97
A00117,U00729,8470.32
A00118,U00368,19542.38
A00119,U00352,6414.72
A00120,U00712,99226.97
A00121,U00704,33951.11
A00122,U00273,5399.11
A00123,U00098,37567.29
A00124,U00673,58145.15
A00125,U00116,11533.2
A00126,U00458,57920.36
A00127,U00314,28377.6
A00128,U00420,4562.73
A00129,U00022,7295.09
A00130,U00968,13773.66
A00131,U00171,64527.95
A00132,U00781,97102.32
A00133,U00093,45423.83
A00134,U00879,55239.66
A00135,U00891,39917.19
A00136,U00285,80131.18
A00137,U00949,71101.2
A00138,U00547,27867.78
A00139,U00908,55471.18
A00140,U00740,26376.58
A00141,U00320,42658.7
A00142,U00987,74652.37
A00143,U00811,3179.6
A00144,U00273,57811.73
A00145,U00527,56053.68
A00146,U00492,4225.41
A00147,U00995,61404.36
A00148,U00576,76763.11
A00149,U00503,9421.12
A00150,U00112,14685.42
A00151,U00111,10690.59
A00152,U00535,55591.63
A00153,U00878,55669.83
A00154,U00429,6691.35
A00155,U00319,27109.64
A00156,U00793,907.51
A00157,U00881,7634.52
A00158,U00998,15873.14
A00159,U00091,82806.25
A00160,U00521,69038.45
A00161,U00391,87546.14
