id,user_id,balance
A00000,U00848,48296.19
A00001,U00109,16962.25
A00002,U00239,16550.57
A00003,U00546,9301.76
A00004,U00667,1444.88
A00005,U00608,73287.63
A00006,U00426,98681.12
A00007,U00222,24392.09
A00008,U00201,46157.87
A00009,U00476,10188.39
A00010,U00262,3621.11
A00011,U00635,39677.53
A00012,U00930,33338.08
A00013,U00644,49516.34
A00014,U00240,60435.5
A00015,U00816,91286.91
A00016,U00371,97776.6
A00017,U00071,67139.47
A00018,U00515,5866.83
A00019,U00791,80454.72
A00020,U00293,41238.03
A00021,U00170,20550.72
A00022,U00602,63743.4
A00023,U00019,56442.98
A00024,U00014,84382.71
A00025,U00045,5102.88
A00026,U00045,89456.54
A00027,U00076,51368.6
A00028,U00712,83864.83
A00029,U00093,84175.02
A00030,U00317,119.1
A00031,U00487,39771.17
A00032,U00073,44821.31
A00033,U00500,38439.4
A00034,U00334,40450.76
A00035,U00049,93996.26
A00036,U00295,9394.4
A00037,U00612,85999.16
A00038,U00275,88320.53
A00039,U00644,9453.46
A00040,U00713,13599.13
A00041,U00821,64526.26
A00042,U00590,78.58
A00043,U00882,5403.21
A00044,U00224,56331.22
A00045,U00625,85926.26
A00046,U00144,92955.16
A00047,U00149,4871.29
A00048,U00968,86653.66
A00049,U00943,85343.14
A00050,U00103,68579.36
A00051,U00770,1884.12
A00052,U00460,43748.42
A00053,U00595,5900.24
A00054,U00415,76601.59
A00055,U00226,17643.57
A00056,U00755,47390.91
A00057,U00998,21416.08
A00058,U00620,88300.05
A00059,U00793,76315.15
A00060,U00331,81983.29
A00061,U00417,27265.72
A00062,U00960,40001.27
A00063,U00201,52196.86
A00064,U00234,49620.91
A00065,U00937,11870.7
A00066,U00994,31021.42
A00067,U00997,53883.23
A00068,U00185,56381.84
A00069,U00964,40096.83
A00070,U00148,83635.7
A00071,U00371,48148.32
A00072,U00503,61816.82
A00073,U00434,4634.6
A00074,U00054,65569.14
A00075,U00498,49142.08
A00076,U00524,3950.64
A00077,U00296,87549.14
A00078,U00927,14160.87
A00079,U00860,5553.76
A00080,U00221,60498.76
A00081,U00188,59281.61
A00082,U00127,54122.88
A00083,U00777,93454.72
A00084,U00861,60420.71
A00085,U00920,37182.51
A00086,U00202,56429.57
A00087,U00783,10014.32
A00088,U00354,4370.63
A00089,U00749,20909.92
A00090,U00744,49820.79
A00091,U00592,50800.98
A00092,U00352,787.4
A00093,U00151,46797.14
A00094,U00129,18164.26
A00095,U00894,28549.61
A00096,U00543,62261.67
A00097,U00683,12876.71
A00098,U00429,85127.35
A00099,U00161,21351.81
A00100,U00714,12162.07
A00101,U00170,38684.13
A00102,U00576,81916.41
A00103,U00896,6379.88
A00104,U00147,30716.08
A00105,U00681,45608.51
A00106,U00604,75612.22
A00107,U00499,36049.66
A00108,U00143,47398.07
A00109,U00609,38837.25
A00110,U00028,35633.01
A00111,U00921,3863.93
A00112,U00603,73631.83
A00113,U00110,76457.65
A00114,U00503,8659.67
A00115,U00849,87635.35
A00116,U00950,74551.51
A00117,U00227,4497.07
A00118,U00022,7588.39
A00119,U00398,42116.82
A00120,U00682,8629.53
A00121,U00384,29477.04
A00122,U00517,10787.3
A00123,U00527,23845.66
A00124,U00914,24459.69
A00125,U00722,90146.05
A00126,U00814,5410.76
A00127,U00887,42147.19
A00128,U00876,83398.74
A00129,U00312,73750.12
A00130,U00218,70819.55
A00131,U00339,43018.83
A00132,U00573,33603.27
A00133,U00090,95726.39
A00134,U00672,8594.49
A00135,U00545,76092.88
A00136,U00188,9228.92
A00137,U00874,22912.29
A00138,U00430,32930.84
A00139,U00164,33419.02
A00140,U00486,49563.31
A00141,U00611,22358.07
A00142,U00114,32202.97
A00143,U00529,36739.49
A00144,U00034,8755.5
A00145,U00456,9808.72
A00146,U00268,55434.43
A00147,U00820,65316.43
A00148,U00518,64761.06
A00149,U00555,10146.83
A00150,U00233,4584.98
A00151,U00346,6948.56
A00152,U00237,64940.03
A00153,U00099,65359.88
A00154,U00729,61072.24
A00155,U00870,34221.18
A00156,U00191,70579.86
A00157,U00688,85505.19
A00158,U00319,48479.01
A00159,U00503,44143.38
A00160,U00331,12433.48
A00161,U00965,86658.32
A00162,U00240,3936.43
A00163,U00854,59411.88
A00164,U00856,2149.84
A00165,U00409,8638.92
A00166,U00829,88219.31
