id,name,category
M00000,Merchant0,Travel
M00001,Merchant1,Technology
M00002,Merchant2,Retail
M00003,Merchant3,Technology
M00004,Merchant4,Entertainment
M00005,Merchant5,Food
M00006,Merchant6,Entertainment
M00007,Merchant7,Food
M00008,Merchant8,Retail
M00009,Merchant9,Food
M00010,Merchant10,Entertainment
M00011,Merchant11,Technology
M00012,Merchant12,Entertainment
M00013,Merchant13,Technology
M00014,Merchant14,Technology
M00015,Merchant15,Retail
M00016,Merchant16,Travel
M00017,Merchant17,Retail
M00018,Merchant18,Retail
M00019,Merchant19,Retail
M00020,Merchant20,Entertainment
M00021,Merchant21,Entertainment
M00022,Merchant22,Entertainment
M00023,Merchant23,Travel
M00024,Merchant24,Retail
M00025,Merchant25,Food
M00026,Merchant26,Retail
M00027,Merchant27,Retail
M00028,Merchant28,Retail
M00029,Merchant29,Food
M00030,Merchant30,Food
M00031,Merchant31,Retail
M00032,Merchant32,Technology
M00033,Merchant33,Food
M00034,Merchant34,Food
M00035,Merchant35,Technology
M00036,Merchant36,Technology
M00037,Merchant37,Entertainment
M00038,Merchant38,Retail
M00039,Merchant39,Travel
M00040,Merchant40,Technology
M00041,Merchant41,Technology
M00042,Merchant42,Travel
M00043,Merchant43,Travel
M00044,Merchant44,Technology
M00045,Merchant45,Retail
M00046,Merchant46,Travel
M00047,Merchant47,Technology
M00048,Merchant48,Retail
M00049,Merchant49,Entertainment
M00050,Merchant50,Technology
M00051,Merchant51,Food
M00052,Merchant52,Technology
M00053,Merchant53,Retail
M00054,Merchant54,Technology
M00055,Merchant55,Travel
M00056,Merchant56,Food
M00057,Merchant57,Technology
M00058,Merchant58,Entertainment
M00059,Merchant59,Technology
M00060,Merchant60,Travel
M00061,Merchant61,Travel
M00062,Merchant62,Technology
M00063,Merchant63,Travel
M00064,Merchant64,Retail
M00065,Merchant65,Retail
M00066,Merchant66,Travel
M00067,Merchant67,Technology
M00068,Merchant68,Entertainment
M00069,Merchant69,Entertainment
M00070,Merchant70,Travel
M00071,Merchant71,Entertainment
M00072,Merchant72,Entertainment
M00073,Merchant73,Retail
M00074,Merchant74,Technology
M00075,Merchant75,Food
M00076,Merchant76,Retail
M00077,Merchant77,Entertainment
M00078,Merchant78,Travel
M00079,Merchant79,Retail
M00080,Merchant80,Entertainment
M00081,Merchant81,Travel
M00082,Merchant82,Travel
M00083,Merchant83,Technology
M00084,Merchant84,Food
M00085,Merchant85,Entertainment
M00086,Merchant86,Technology
M00087,Merchant87,Food
M00088,Merchant88,Food
M00089,Merchant89,Food
M00090,Merchant90,Food
M00091,Merchant91,Entertainment
M00092,Merchant92,Retail
M00093,Merchant93,Travel
M00094,Merchant94,Retail
M00095,Merchant95,Retail
M00096,Merchant96,Food
M00097,Merchant97,Entertainment
M00098,Merchant98,Technology
M00099,Merchant99,Travel
