id,user_id,merchant_id,device_id,ip_id,amount,timestamp,status
T0000000,U00987,M00016,D00047,IP00549,16455.98,2024-08-31T20:39:26.907347,Approved
T0000001,U00626,M00036,D00174,IP00551,4008.72,2024-08-13T20:39:26.907376,Approved
T0000002,U00681,M00066,D00150,IP00600,15267.59,2024-04-23T20:39:26.907386,Approved
T0000003,U00101,M00021,D00187,IP00333,16769.56,2024-06-14T20:39:26.907396,Approved
T0000004,U00542,M00089,D00413,IP00759,12707.28,2024-01-13T20:39:26.907405,Approved
T0000005,U00986,M00014,D00474,IP00203,2202.99,2024-08-25T20:39:26.907415,Approved
T0000006,U00689,M00072,D00437,IP00199,16597.23,2024-08-01T20:39:26.907424,Approved
T0000007,U00710,M00040,D00045,IP00227,14554.89,2024-04-19T20:39:26.907439,Approved
T0000008,U00820,M00076,D00295,IP00835,19762.61,2024-05-21T20:39:26.907452,Approved
T0000009,U00875,M00041,D00321,IP00374,13092.83,2024-08-27T20:39:26.907463,Declined
T0000010,U00979,M00092,D00209,IP00403,876.19,2023-12-05T20:39:26.907472,Approved
T0000011,U00177,M00056,D00310,IP00683,6221.09,2024-08-08T20:39:26.907479,Approved
T0000012,U00122,M00023,D00186,IP00943,14787.3,2024-04-29T20:39:26.907487,Approved
T0000013,U00832,M00017,D00278,IP00118,6389.96,2024-09-05T20:39:26.907498,Approved
T0000014,U00803,M00018,D00102,IP00982,3291.84,2024-09-04T20:39:26.907506,Declined
T0000015,U00153,M00045,D00366,IP00045,9633.22,2024-06-10T20:39:26.907514,Declined
T0000016,U00693,M00032,D00275,IP00274,12742.56,2023-12-16T20:39:26.907521,Declined
T0000017,U00318,M00097,D00354,IP00447,18035.69,2024-04-19T20:39:26.907534,Declined
T0000018,U00465,M00036,D00134,IP00156,2540.5,2024-06-27T20:39:26.907542,Approved
T0000019,U00021,M00023,D00130,IP00960,5388.1,2024-07-20T20:39:26.907549,Approved
T0000020,U00411,M00044,D00162,IP00109,473.2,2023-12-19T20:39:26.907556,Approved
T0000021,U00117,M00065,D00219,IP00932,18609.95,2024-02-12T20:39:26.907564,Approved
T0000022,U00615,M00062,D00245,IP00347,19921.69,2024-07-03T20:39:26.907573,Approved
T0000023,U00626,M00030,D00212,IP00322,9942.9,2024-07-10T20:39:26.907580,Approved
T0000024,U00691,M00019,D00288,IP00099,18241.74,2024-04-16T20:39:26.907588,Approved
T0000025,U00496,M00002,D00207,IP00095,7470.45,2024-09-26T20:39:26.907595,Approved
T0000026,U00744,M00020,D00062,IP00141,1087.51,2024-05-14T20:39:26.907603,Approved
T0000027,U00501,M00041,D00287,IP00145,1306.57,2024-06-14T20:39:26.907610,Approved
T0000028,U00197,M00047,D00366,IP00710,19689.86,2024-04-12T20:39:26.907618,Approved
T0000029,U00535,M00021,D00106,IP00343,3819.55,2024-09-16T20:39:26.907625,Approved
T0000030,U00821,M00082,D00214,IP00814,13941.07,2024-02-28T20:39:26.907633,Approved
T0000031,U00714,M00015,D00405,IP00307,7135.78,2024-07-17T20:39:26.907640,Approved
T0000032,U00130,M00032,D00216,IP00482,3962.65,2024-06-10T20:39:26.907647,Approved
T0000033,U00361,M00022,D00465,IP00410,659.73,2024-09-26T20:39:26.907659,Flagged
T0000034,U00960,M00042,D00442,IP00715,7805.48,2024-01-19T20:39:26.907667,Approved
T0000035,U00034,M00091,D00004,IP00428,10168.98,2024-09-01T20:39:26.907676,Declined
T0000036,U00559,M00011,D00077,IP00243,9557.27,2023-11-17T20:39:26.907689,Approved
T0000037,U00245,M00069,D00106,IP00772,10487.2,2023-12-10T20:39:26.907696,Flagged
T0000038,U00032,M00015,D00341,IP00436,363.63,2023-12-16T20:39:26.907704,Approved
T0000039,U00498,M00021,D00088,IP00715,18829.9,2024-02-18T20:39:26.907711,Declined
T0000040,U00532,M00022,D00288,IP00520,11916.03,2024-05-18T20:39:26.907719,Approved
T0000041,U00952,M00067,D00322,IP00373,7971.59,2023-10-30T20:39:26.907726,Approved
T0000042,U00178,M00058,D00297,IP00731,8107.24,2024-08-26T20:39:26.907734,Flagged
T0000043,U00652,M00027,D00263,IP00588,16365.21,2024-06-08T20:39:26.907741,Flagged
T0000044,U00759,M00012,D00372,IP00812,4601.53,2023-11-03T20:39:26.907756,Declined
