id,type
D00000,Desktop
D00001,Tablet
D00002,Tablet
D00003,Tablet
D00004,Desktop
D00005,Mobile
D00006,Mobile
D00007,Mobile
D00008,Desktop
D00009,Desktop
D00010,Tablet
D00011,Mobile
D00012,Mobile
D00013,Desktop
D00014,Tablet
D00015,Mobile
D00016,Tablet
D00017,Desktop
D00018,Tablet
D00019,Tablet
D00020,Mobile
D00021,Tablet
D00022,Tablet
D00023,Tablet
D00024,Desktop
D00025,Desktop
D00026,Tablet
D00027,Desktop
D00028,Mobile
D00029,Mobile
D00030,Desktop
D00031,Desktop
D00032,Mobile
D00033,Desktop
D00034,Tablet
D00035,Mobile
D00036,Tablet
D00037,Mobile
D00038,Tablet
D00039,Mobile
D00040,Mobile
D00041,Desktop
D00042,Desktop
D00043,Tablet
D00044,Desktop
D00045,Tablet
D00046,Desktop
D00047,Mobile
D00048,Desktop
D00049,Desktop
D00050,Tablet
D00051,Mobile
D00052,Mobile
D00053,Tablet
D00054,Tablet
D00055,Desktop
D00056,Tablet
D00057,Tablet
D00058,Tablet
D00059,Mobile
D00060,Mobile
D00061,Desktop
D00062,Tablet
D00063,Desktop
D00064,Mobile
D00065,Tablet
D00066,Desktop
D00067,Tablet
D00068,Tablet
D00069,Desktop
D00070,Desktop
D00071,Desktop
D00072,Tablet
D00073,Tablet
D00074,Tablet
D00075,Mobile
D00076,Tablet
D00077,Mobile
D00078,Tablet
D00079,Mobile
D00080,Mobile
D00081,Mobile
D00082,Tablet
D00083,Desktop
D00084,Mobile
D00085,Tablet
D00086,Desktop
D00087,Desktop
D00088,Tablet
D00089,Tablet
D00090,Tablet
D00091,Desktop
D00092,Tablet
D00093,Tablet
D00094,Desktop
D00095,Desktop
D00096,Desktop
D00097,Tablet
D00098,Mobile
D00099,Mobile
D00100,Tablet
D00101,Tablet
D00102,Tablet
D00103,Tablet
D00104,Tablet
D00105,Tablet
D00106,Desktop
D00107,Mobile
D00108,Desktop
D00109,Desktop
D00110,Tablet
D00111,Desktop
D00112,Tablet
D00113,Desktop
D00114,Desktop
D00115,Mobile
D00116,Mobile
D00117,Mobile
D00118,Tablet
D00119,Tablet
D00120,Tablet
D00121,Desktop
D00122,Mobile
D00123,Desktop
D00124,Tablet
D00125,Desktop
D00126,Desktop
D00127,Tablet
D00128,Tablet
D00129,Mobile
D00130,Mobile
D00131,Tablet
D00132,Desktop
D00133,Desktop
D00134,Desktop
D00135,Mobile
D00136,Tablet
D00137,Desktop
D00138,Tablet
D00139,Tablet
