id,user_id,merchant_id,device_id,ip_id,amount,timestamp,status,label
T0000000,U00620,M00017,D00025,IP00732,7455.32,2023-12-31T11:47:43.389222,Approved,FinancialRisk
T0000001,U00658,M00010,D00183,IP00513,10983.31,2024-05-11T11:47:43.389253,Approved,FinancialRisk
T0000002,U00451,M00099,D00029,IP00122,3988.94,2024-04-10T11:47:43.389286,Declined,FinancialRisk
T0000003,U00564,M00086,D00174,IP00485,7054.69,2024-07-31T11:47:43.389297,Approved,FinancialRisk
T0000004,U00973,M00048,D00301,IP00901,17581.92,2023-11-22T11:47:43.389306,Flagged,FinancialRisk
T0000005,U00371,M00011,D00114,IP00342,4572.43,2024-05-16T11:47:43.389316,Approved,FinancialRisk
T0000006,U00559,M00023,D00258,IP00790,9759.67,2024-03-16T11:47:43.389324,Approved,FinancialRisk
T0000007,U00008,M00029,D00402,IP00985,226.85,2024-07-15T11:47:43.389354,Approved,FinancialRisk
T0000008,U00124,M00002,D00387,IP00332,11126.37,2024-05-28T11:47:43.389369,Declined,FinancialRisk
T0000009,U00289,M00000,D00055,IP00029,17786.73,2024-01-11T11:47:43.389390,Approved,FinancialRisk
T0000010,U00701,M00019,D00415,IP00263,13236.38,2024-04-21T11:47:43.389398,Declined,FinancialRisk
T0000011,U00108,M00088,D00451,IP00161,19636.06,2024-06-04T11:47:43.389406,Approved,FinancialRisk
T0000012,U00963,M00030,D00397,IP00233,8494.91,2024-01-20T11:47:43.389415,Declined,FinancialRisk
T0000013,U00372,M00046,D00331,IP00391,5698.56,2024-10-01T11:47:43.389423,Declined,FinancialRisk
T0000014,U00347,M00046,D00392,IP00915,17425.57,2024-09-18T11:47:43.389433,Declined,FinancialRisk
T0000015,U00450,M00098,D00272,IP00479,4721.0,2024-05-11T11:47:43.389441,Approved,FinancialRisk
T0000016,U00929,M00077,D00124,IP00659,638.42,2024-02-28T11:47:43.389448,Approved,FinancialRisk
T0000017,U00479,M00055,D00015,IP00488,65.93,2024-06-10T11:47:43.389456,Approved,FinancialRisk
T0000018,U00740,M00083,D00358,IP00778,16005.78,2024-06-14T11:47:43.389464,Approved,FinancialRisk
T0000019,U00749,M00038,D00109,IP00848,8789.32,2024-02-20T11:47:43.389472,Approved,FinancialRisk
T0000020,U00051,M00066,D00057,IP00638,18478.24,2024-07-10T11:47:43.389480,Approved,FinancialRisk
T0000021,U00223,M00058,D00332,IP00830,14984.59,2024-09-01T11:47:43.389487,Approved,FinancialRisk
T0000022,U00050,M00004,D00330,IP00577,19043.45,2024-02-13T11:47:43.389497,Declined,FinancialRisk
T0000023,U00375,M00065,D00323,IP00174,14775.67,2024-05-13T11:47:43.389504,Approved,FinancialRisk
T0000024,U00495,M00057,D00175,IP00301,10396.12,2024-09-25T11:47:43.389511,Approved,FinancialRisk
T0000025,U00574,M00056,D00154,IP00730,15413.59,2024-09-11T11:47:43.389519,Flagged,FinancialRisk
T0000026,U00778,M00044,D00494,IP00659,9540.29,2024-08-11T11:47:43.389527,Declined,FinancialRisk
T0000027,U00898,M00094,D00468,IP00959,582.82,2023-10-06T11:47:43.389535,Declined,FinancialRisk
T0000028,U00136,M00078,D00214,IP00772,12258.24,2024-03-08T11:47:43.389542,Approved,FinancialRisk
T0000029,U00039,M00096,D00168,IP00143,12679.89,2024-02-15T11:47:43.389549,Approved,FinancialRisk
T0000030,U00251,M00042,D00319,IP00052,2245.51,2024-08-11T11:47:43.389556,Approved,FinancialRisk
T0000031,U00801,M00020,D00322,IP00477,1330.08,2024-05-20T11:47:43.389566,Approved,FinancialRisk
T0000032,U00506,M00051,D00183,IP00777,15235.97,2024-08-27T11:47:43.389573,Declined,FinancialRisk
T0000033,U00916,M00000,D00064,IP00226,3923.98,2024-05-04T11:47:43.389581,Approved,FinancialRisk
T0000034,U00391,M00007,D00408,IP00529,7306.75,2023-12-10T11:47:43.389591,Approved,FinancialRisk
T0000035,U00869,M00051,D00436,IP00696,5693.23,2024-07-09T11:47:43.389598,Approved,FinancialRisk
T0000036,U00854,M00073,D00268,IP00811,9346.92,2023-12-31T11:47:43.389605,Approved,FinancialRisk
T0000037,U00567,M00006,D00265,IP00957,8106.35,2024-04-08T11:47:43.389613,Approved,FinancialRisk
T0000038,U00041,M00055,D00031,IP00400,9989.04,2024-03-19T11:47:43.389620,Approved,FinancialRisk
T0000039,U00859,M00060,D00398,IP00780,6421.92,2024-07-08T11:47:43.389628,Approved,FinancialRisk
T0000040,U00615,M00026,D00290,IP00457,9142.73,2023-11-25T11:47:43.389637,Approved,FinancialRisk
T0000041,U00143,M00004,D00057,IP00291,2459.97,2023-10-20T11:47:43.389644,Declined,FinancialRisk
T0000042,U00200,M00018,D00444,IP00139,15336.25,2024-04-29T11:47:43.389652,Approved,FinancialRisk
T0000043,U00717,M00056,D00162,IP00025,5367.85,2024-03-03T11:47:43.389659,Declined,FinancialRisk
T0000044,U00793,M00015,D00137,IP00465,18155.98,2024-04-24T11:47:43.389666,Approved,FinancialRisk
T0000045,U00042,M00059,D00105,IP00830,6391.63,2023-11-08T11:47:43.389673,Approved,FinancialRisk
T0000046,U00156,M00041,D00135,IP00940,17454.18,2023-11-14T11:47:43.389681,Approved,FinancialRisk
T0000047,U00880,M00043,D00173,IP00319,6261.19,2023-10-30T11:47:43.389688,Approved,FinancialRisk
T0000048,U00935,M00073,D00174,IP00534,1559.22,2024-06-25T11:47:43.389695,Approved,FinancialRisk
T0000049,U00232,M00001,D00041,IP00963,16556.27,2024-08-28T11:47:43.389704,Approved,FinancialRisk
T0000050,U00032,M00080,D00324,IP00069,663.96,2024-08-02T11:47:43.389711,Approved,FinancialRisk
T0000051,U00707,M00068,D00472,IP00964,5291.85,2024-05-22T11:47:43.389719,Approved,FinancialRisk
T0000052,U00770,M00055,D00172,IP00672,3952.61,2024-01-03T11:47:43.389726,Approved,FinancialRisk
T0000053,U00310,M00092,D00119,IP00525,11642.78,2023-11-17T11:47:43.389735,Approved,FinancialRisk
T0000054,U00116,M00060,D00290,IP00930,1131.23,2024-10-01T11:47:43.389743,Declined,FinancialRisk
T0000055,U00276,M00042,D00085,IP00461,972.35,2024-08-12T11:47:43.389752,Approved,FinancialRisk
T0000056,U00729,M00007,D00018,IP00017,18969.31,2023-12-22T11:47:43.389760,Declined,FinancialRisk
T0000057,U00733,M00027,D00085,IP00427,17642.56,2024-10-03T11:47:43.389767,Approved,FinancialRisk
T0000058,U00619,M00098,D00026,IP00939,18535.72,2024-08-01T11:47:43.389776,Approved,FinancialRisk
T0000059,U00484,M00085,D00241,IP00735,13908.67,2024-10-03T11:47:43.389784,Approved,FinancialRisk
T0000060,U00166,M00000,D00157,IP00749,3978.02,2024-08-03T11:47:43.389791,Approved,FinancialRisk
T0000061,U00351,M00099,D00446,IP00999,455.64,2023-12-04T11:47:43.389799,Approved,FinancialRisk
T0000062,U00544,M00067,D00069,IP00941,8674.7,2023-11-24T11:47:43.389806,Flagged,FinancialRisk
T0000063,U00635,M00094,D00084,IP00279,18888.31,2024-03-09T11:47:43.389814,Declined,FinancialRisk
T0000064,U00604,M00067,D00361,IP00171,10714.2,2024-07-01T11:47:43.389821,Approved,FinancialRisk
T0000065,U00008,M00051,D00303,IP00328,19543.17,2024-06-26T11:47:43.389857,Approved,FinancialRisk
T0000066,U00601,M00012,D00151,IP00620,7290.09,2023-11-21T11:47:43.389864,Approved,FinancialRisk
T0000067,U00638,M00071,D00097,IP00735,5364.13,2024-02-28T11:47:43.389873,Approved,FinancialRisk
T0000068,U00356,M00013,D00147,IP00821,2213.95,2024-10-03T11:47:43.389880,Declined,FinancialRisk
T0000069,U00687,M00097,D00166,IP00416,1637.51,2024-02-26T11:47:43.389887,Flagged,FinancialRisk
T0000070,U00560,M00009,D00282,IP00928,5447.3,2024-08-17T11:47:43.389926,Approved,FinancialRisk
T0000071,U00770,M00029,D00017,IP00235,14819.16,2024-07-07T11:47:43.389933,Approved,FinancialRisk
T0000072,U00244,M00066,D00076,IP00407,18921.59,2024-09-20T11:47:43.389940,Declined,FinancialRisk
T0000073,U00779,M00092,D00311,IP00335,1282.22,2024-07-10T11:47:43.389973,Approved,FinancialRisk
T0000074,U00561,M00010,D00187,IP00471,14902.14,2024-08-15T11:47:43.389980,Approved,FinancialRisk
T0000075,U00373,M00066,D00025,IP00975,16829.03,2024-07-31T11:47:43.389987,Declined,FinancialRisk
T0000076,U00072,M00044,D00412,IP00724,1942.15,2023-10-13T11:47:43.389996,Approved,FinancialRisk
T0000077,U00956,M00021,D00192,IP00335,5276.35,2024-01-31T11:47:43.390004,Approved,FinancialRisk
T0000078,U00743,M00030,D00156,IP00590,11653.19,2023-12-21T11:47:43.390012,Approved,FinancialRisk
T0000079,U00441,M00016,D00478,IP00375,15048.39,2023-12-14T11:47:43.390019,Approved,FinancialRisk
T0000080,U00495,M00009,D00387,IP00900,4221.05,2023-11-14T11:47:43.390026,Declined,FinancialRisk
T0000081,U00021,M00060,D00032,IP00680,15475.74,2024-05-13T11:47:43.390033,Approved,FinancialRisk
T0000082,U00305,M00098,D00074,IP00081,10590.73,2024-06-06T11:47:43.390041,Declined,FinancialRisk
T0000083,U00289,M00026,D00372,IP00521,11888.65,2023-10-30T11:47:43.390048,Approved,FinancialRisk
T0000084,U00141,M00037,D00182,IP00272,7721.55,2024-05-24T11:47:43.390055,Flagged,FinancialRisk
T0000085,U00241,M00057,D00413,IP00057,10265.59,2023-10-23T11:47:43.390067,Declined,FinancialRisk
T0000086,U00788,M00091,D00314,IP00340,18281.58,2023-11-30T11:47:43.390074,Approved,FinancialRisk
T0000087,U00762,M00048,D00058,IP00825,9580.26,2023-11-20T11:47:43.390109,Approved,FinancialRisk
T0000088,U00520,M00017,D00067,IP00593,17658.19,2023-10-15T11:47:43.390116,Approved,FinancialRisk
T0000089,U00918,M00023,D00132,IP00025,18389.13,2023-11-06T11:47:43.390123,Approved,FinancialRisk
T0000090,U00038,M00074,D00474,IP00920,9307.59,2023-10-06T11:47:43.390131,Approved,FinancialRisk
T0000091,U00804,M00012,D00254,IP00820,1501.89,2024-03-27T11:47:43.390138,Declined,FinancialRisk
T0000092,U00237,M00062,D00442,IP00331,13542.88,2024-05-18T11:47:43.390147,Approved,FinancialRisk
T0000093,U00952,M00048,D00005,IP00201,15048.22,2024-08-04T11:47:43.390155,Approved,FinancialRisk
T0000094,U00243,M00028,D00333,IP00118,8930.65,2024-01-10T11:47:43.390162,Approved,FinancialRisk
T0000095,U00989,M00021,D00302,IP00401,9151.41,2024-08-28T11:47:43.390170,Approved,FinancialRisk
T0000096,U00719,M00092,D00178,IP00115,15442.15,2023-11-19T11:47:43.390177,Declined,FinancialRisk
T0000097,U00167,M00030,D00291,IP00841,2763.19,2024-02-09T11:47:43.390186,Approved,FinancialRisk
T0000098,U00006,M00017,D00387,IP00287,4198.25,2024-04-29T11:47:43.390194,Approved,FinancialRisk
T0000099,U00450,M00068,D00476,IP00873,14135.43,2024-07-24T11:47:43.390201,Approved,FinancialRisk
T0000100,U00436,M00028,D00389,IP00802,8361.7,2024-10-02T11:47:43.390208,Approved,FinancialRisk
T0000101,U00093,M00033,D00453,IP00592,11023.61,2023-11-27T11:47:43.390216,Approved,FinancialRisk
T0000102,U00659,M00027,D00226,IP00478,17922.26,2023-11-26T11:47:43.390223,Approved,FinancialRisk
T0000103,U00162,M00071,D00247,IP00139,4582.35,2024-04-01T11:47:43.390230,Approved,FinancialRisk
T0000104,U00798,M00050,D00474,IP00247,18308.94,2024-08-13T11:47:43.390238,Approved,FinancialRisk
T0000105,U00624,M00078,D00027,IP00919,13261.23,2024-03-18T11:47:43.390245,Approved,FinancialRisk
T0000106,U00563,M00053,D00466,IP00898,14684.55,2024-03-04T11:47:43.390254,Approved,FinancialRisk
T0000107,U00002,M00006,D00092,IP00424,5019.3,2023-10-16T11:47:43.390261,Approved,FinancialRisk
T0000108,U00827,M00091,D00439,IP00404,8676.05,2024-02-29T11:47:43.390270,Approved,FinancialRisk
T0000109,U00564,M00079,D00165,IP00933,6042.39,2024-09-18T11:47:43.390278,Approved,FinancialRisk
T0000110,U00593,M00025,D00344,IP00042,5096.35,2024-03-19T11:47:43.390285,Approved,FinancialRisk
T0000111,U00111,M00024,D00382,IP00073,3738.63,2024-05-27T11:47:43.390293,Declined,FinancialRisk
T0000112,U00909,M00006,D00107,IP00097,11482.81,2023-12-10T11:47:43.390302,Approved,FinancialRisk
T0000113,U00811,M00001,D00033,IP00494,8144.22,2024-01-05T11:47:43.390309,Approved,FinancialRisk
T0000114,U00566,M00085,D00119,IP00882,116.36,2024-05-11T11:47:43.390317,Approved,FinancialRisk
T0000115,U00130,M00088,D00472,IP00218,197.23,2024-09-27T11:47:43.390324,Approved,FinancialRisk
T0000116,U00757,M00055,D00296,IP00772,19499.17,2024-06-27T11:47:43.390332,Approved,FinancialRisk
T0000117,U00778,M00093,D00287,IP00742,6315.03,2024-05-21T11:47:43.390339,Approved,FinancialRisk
T0000118,U00900,M00031,D00000,IP00724,9600.42,2024-06-02T11:47:43.390346,Approved,FinancialRisk
