id,name,risk_score
U00000,User0,17.69
U00001,User1,87.06
U00002,User2,76.05
U00003,User3,61.97
U00004,User4,10.59
U00005,User5,87.13
U00006,User6,14.82
U00007,User7,98.65
U00008,User8,72.59
U00009,User9,49.86
U00010,User10,64.36
U00011,User11,84.48
U00012,User12,20.61
U00013,User13,62.69
U00014,User14,34.47
U00015,User15,31.87
U00016,User16,53.39
U00017,User17,40.83
U00018,User18,20.86
U00019,User19,78.96
U00020,User20,43.79
U00021,User21,29.11
U00022,User22,89.28
U00023,User23,9.17
U00024,User24,25.39
U00025,User25,79.24
U00026,User26,14.36
U00027,User27,54.81
U00028,User28,60.07
U00029,User29,36.35
U00030,User30,3.22
U00031,User31,42.76
U00032,User32,66.01
U00033,User33,80.41
U00034,User34,65.23
U00035,User35,15.5
U00036,User36,99.28
U00037,User37,10.83
U00038,User38,14.08
U00039,User39,71.08
U00040,User40,94.27
U00041,User41,17.05
U00042,User42,81.55
U00043,User43,96.54
U00044,User44,11.58
U00045,User45,9.22
U00046,User46,55.98
U00047,User47,11.77
U00048,User48,18.04
U00049,User49,7.86
U00050,User50,90.23
U00051,User51,91.32
U00052,User52,86.49
U00053,User53,12.22
U00054,User54,22.09
U00055,User55,74.38
U00056,User56,45.09
U00057,User57,79.36
U00058,User58,66.33
U00059,User59,27.19
U00060,User60,96.91
U00061,User61,21.82
U00062,User62,37.13
U00063,User63,40.63
U00064,User64,69.15
U00065,User65,47.34
U00066,User66,46.74
U00067,User67,47.87
U00068,User68,29.74
U00069,User69,24.92
U00070,User70,39.41
U00071,User71,43.95
U00072,User72,59.47
U00073,User73,65.14
U00074,User74,91.92
U00075,User75,6.6
U00076,User76,75.67
U00077,User77,91.2
U00078,User78,48.75
U00079,User79,3.86
U00080,User80,43.7
U00081,User81,7.21
U00082,User82,8.86
U00083,User83,19.17
U00084,User84,7.77
U00085,User85,5.79
U00086,User86,36.5
U00087,User87,53.97
U00088,User88,7.89
U00089,User89,32.2
U00090,User90,85.77
U00091,User91,74.39
U00092,User92,27.7
U00093,User93,36.2
U00094,User94,69.87
U00095,User95,17.48
U00096,User96,32.11
U00097,User97,9.08
U00098,User98,2.63
U00099,User99,29.97
U00100,User100,1.31
U00101,User101,40.47
U00102,User102,23.81
U00103,User103,71.33
U00104,User104,85.31
U00105,User105,49.36
U00106,User106,29.06
U00107,User107,77.96
U00108,User108,20.02
U00109,User109,0.08
U00110,User110,35.99
U00111,User111,6.34
U00112,User112,44.68
U00113,User113,11.17
U00114,User114,65.79
U00115,User115,5.36
U00116,User116,54.05
U00117,User117,42.14
U00118,User118,24.24
U00119,User119,79.88
U00120,User120,25.7
U00121,User121,74.35
U00122,User122,21.87
U00123,User123,67.3
U00124,User124,9.14
U00125,User125,28.42
U00126,User126,0.41
U00127,User127,80.73
U00128,User128,43.42
U00129,User129,69.95
U00130,User130,98.33
U00131,User131,76.52
U00132,User132,89.49
U00133,User133,64.08
U00134,User134,81.76
U00135,User135,80.98
U00136,User136,0.4
U00137,User137,29.83
U00138,User138,51.4
U00139,User139,20.79
U00140,User140,62.53
U00141,User141,48.3
U00142,User142,37.1
U00143,User143,50.04
U00144,User144,60.9
U00145,User145,87.96
U00146,User146,8.61
U00147,User147,49.13
U00148,User148,44.94
U00149,User149,44.04
U00150,User150,71.41
U00151,User151,3.56
U00152,User152,44.3
U00153,User153,39.38
U00154,User154,83.48
U00155,User155,54.35
U00156,User156,8.82
U00157,User157,79.4
U00158,User158,93.94
U00159,User159,9.8
U00160,User160,26.86
U00161,User161,63.63
U00162,User162,96.6
U00163,User163,46.28
U00164,User164,75.9
U00165,User165,88.71
U00166,User166,34.11
U00167,User167,42.04
U00168,User168,35.52
U00169,User169,80.9
U00170,User170,27.46
U00171,User171,99.97
U00172,User172,57.98
U00173,User173,28.4
U00174,User174,20.96
U00175,User175,38.38
U00176,User176,27.49
U00177,User177,82.22
U00178,User178,12.1
U00179,User179,18.32
U00180,User180,52.17
U00181,User181,87.23
U00182,User182,66.65
U00183,User183,44.87
U00184,User184,72.31
U00185,User185,44.9
U00186,User186,85.65
U00187,User187,55.48
U00188,User188,42.26
U00189,User189,5.89
U00190,User190,5.34
U00191,User191,43.9
U00192,User192,31.99
U00193,User193,0.62
U00194,User194,95.44
U00195,User195,45.29
U00196,User196,4.42
U00197,User197,26.01
U00198,User198,84.02
U00199,User199,23.59
U00200,User200,49.05
U00201,User201,52.19
U00202,User202,80.25
U00203,User203,83.12
U00204,User204,64.59
U00205,User205,33.38
U00206,User206,68.81
U00207,User207,77.29
U00208,User208,5.16
U00209,User209,93.26
U00210,User210,12.29
U00211,User211,12.66
U00212,User212,62.44
U00213,User213,34.62
U00214,User214,67.71
