id,user_id,merchant_id,device_id,ip_id,amount,timestamp,status
T0000000,U00854,M00044,D00025,IP00605,4531.51,2024-08-13T21:56:25.579305,Approved
T0000001,U00915,M00017,D00092,IP00400,19655.32,2024-06-26T21:56:25.579336,Declined
T0000002,U00633,M00027,D00192,IP00233,16094.18,2024-05-27T21:56:25.579347,Approved
T0000003,U00036,M00035,D00150,IP00158,15202.84,2024-07-20T21:56:25.579357,Declined
T0000004,U00912,M00051,D00011,IP00016,10402.77,2024-03-10T21:56:25.579368,Approved
T0000005,U00909,M00096,D00399,IP00063,8221.2,2024-08-08T21:56:25.579378,Approved
T0000006,U00443,M00077,D00256,IP00610,7815.58,2024-05-15T21:56:25.579386,Approved
T0000007,U00781,M00051,D00043,IP00311,8497.78,2024-08-26T21:56:25.579400,Approved
T0000008,U00433,M00030,D00270,IP00088,18039.06,2024-02-07T21:56:25.579411,Approved
T0000009,U00245,M00016,D00218,IP00025,4373.62,2023-12-05T21:56:25.579422,Declined
T0000010,U00759,M00086,D00471,IP00092,17552.87,2024-09-01T21:56:25.579430,Declined
T0000011,U00323,M00018,D00206,IP00438,5479.91,2024-10-02T21:56:25.579438,Approved
T0000012,U00135,M00027,D00263,IP00097,15760.92,2024-01-24T21:56:25.579445,Approved
T0000013,U00813,M00089,D00297,IP00826,18410.09,2024-06-01T21:56:25.579456,Approved
T0000014,U00154,M00096,D00291,IP00913,9134.3,2023-10-20T21:56:25.579464,Approved
T0000015,U00309,M00042,D00336,IP00415,3114.75,2024-04-19T21:56:25.579476,Approved
T0000016,U00782,M00057,D00463,IP00750,14090.91,2023-11-18T21:56:25.579484,Flagged
T0000017,U00399,M00026,D00074,IP00505,12890.97,2024-04-09T21:56:25.579492,Approved
T0000018,U00712,M00074,D00365,IP00284,4918.55,2024-05-20T21:56:25.579499,Approved
T0000019,U00539,M00076,D00270,IP00896,12487.19,2024-05-10T21:56:25.579507,Approved
T0000020,U00546,M00021,D00034,IP00194,19194.46,2024-08-31T21:56:25.579514,Approved
T0000021,U00073,M00005,D00052,IP00703,5873.43,2023-11-02T21:56:25.579522,Declined
T0000022,U00509,M00023,D00192,IP00615,4127.52,2024-08-24T21:56:25.579529,Approved
