id,name,risk_score
U00000,User0,59.51
U00001,User1,9.6
U00002,User2,56.71
U00003,User3,37.35
U00004,User4,32.13
U00005,User5,7.26
U00006,User6,42.76
U00007,User7,31.9
U00008,User8,84.61
U00009,User9,35.3
U00010,User10,12.38
U00011,User11,58.55
U00012,User12,16.39
U00013,User13,93.62
U00014,User14,25.27
U00015,User15,16.25
U00016,User16,12.35
U00017,User17,74.82
U00018,User18,49.92
U00019,User19,61.79
U00020,User20,9.89
U00021,User21,77.36
U00022,User22,17.67
U00023,User23,70.57
U00024,User24,53.66
U00025,User25,29.97
U00026,User26,97.04
U00027,User27,7.58
U00028,User28,57.21
U00029,User29,8.85
U00030,User30,88.93
U00031,User31,7.83
U00032,User32,95.11
U00033,User33,60.74
U00034,User34,63.78
U00035,User35,79.01
U00036,User36,74.72
U00037,User37,56.57
U00038,User38,26.2
U00039,User39,20.01
U00040,User40,35.32
U00041,User41,59.53
U00042,User42,91.42
U00043,User43,42.9
U00044,User44,87.94
U00045,User45,32.52
U00046,User46,18.69
U00047,User47,93.1
U00048,User48,70.62
U00049,User49,75.98
U00050,User50,72.99
U00051,User51,44.33
U00052,User52,26.02
U00053,User53,95.59
U00054,User54,94.46
U00055,User55,33.89
U00056,User56,29.24
U00057,User57,20.01
U00058,User58,76.14
U00059,User59,91.97
U00060,User60,82.46
U00061,User61,96.21
U00062,User62,18.85
U00063,User63,42.12
U00064,User64,5.21
U00065,User65,94.89
U00066,User66,41.47
U00067,User67,81.75
U00068,User68,78.95
U00069,User69,87.59
U00070,User70,88.21
U00071,User71,55.69
U00072,User72,90.31
U00073,User73,62.67
U00074,User74,82.22
U00075,User75,99.88
U00076,User76,13.28
U00077,User77,71.34
U00078,User78,51.91
U00079,User79,65.02
U00080,User80,8.07
U00081,User81,73.29
U00082,User82,18.81
U00083,User83,63.08
U00084,User84,16.55
U00085,User85,0.54
U00086,User86,89.37
U00087,User87,60.03
U00088,User88,1.18
U00089,User89,64.31
U00090,User90,47.99
U00091,User91,34.78
U00092,User92,52.45
U00093,User93,57.54
U00094,User94,91.22
U00095,User95,22.8
U00096,User96,67.6
U00097,User97,87.95
U00098,User98,95.94
U00099,User99,22.24
U00100,User100,78.36
U00101,User101,81.0
U00102,User102,33.64
U00103,User103,57.03
U00104,User104,71.32
U00105,User105,82.31
U00106,User106,7.02
U00107,User107,74.43
U00108,User108,62.58
U00109,User109,85.54
U00110,User110,94.64
U00111,User111,45.52
U00112,User112,11.06
U00113,User113,90.46
U00114,User114,40.29
U00115,User115,0.38
U00116,User116,9.4
U00117,User117,21.94
U00118,User118,77.67
U00119,User119,90.76
U00120,User120,90.26
U00121,User121,52.09
U00122,User122,26.95
U00123,User123,56.96
U00124,User124,87.91
U00125,User125,96.89
U00126,User126,35.49
U00127,User127,10.63
U00128,User128,12.76
U00129,User129,47.44
U00130,User130,85.57
U00131,User131,46.16
U00132,User132,57.51
U00133,User133,87.75
U00134,User134,56.31
U00135,User135,15.15
U00136,User136,62.98
U00137,User137,76.48
U00138,User138,58.45
U00139,User139,98.11
U00140,User140,77.51
U00141,User141,34.86
U00142,User142,8.91
U00143,User143,3.89
U00144,User144,91.99
U00145,User145,47.01
U00146,User146,27.36
U00147,User147,15.64
U00148,User148,74.15
U00149,User149,82.13
U00150,User150,64.76
U00151,User151,64.88
U00152,User152,92.58
U00153,User153,2.56
U00154,User154,99.94
U00155,User155,64.55
U00156,User156,15.99
U00157,User157,71.51
U00158,User158,12.35
U00159,User159,6.07
U00160,User160,37.49
U00161,User161,22.39
U00162,User162,48.37
U00163,User163,5.92
U00164,User164,87.81
U00165,User165,39.77
U00166,User166,24.39
U00167,User167,77.06
U00168,User168,48.02
U00169,User169,8.54
U00170,User170,88.96
U00171,User171,74.19
U00172,User172,89.62
U00173,User173,16.75
U00174,User174,10.22
U00175,User175,69.45
U00176,User176,39.17
U00177,User177,94.28
U00178,User178,42.28
U00179,User179,91.2
U00180,User180,80.01
U00181,User181,46.78
U00182,User182,32.24
U00183,User183,2.2
U00184,User184,10.59
U00185,User185,45.86
U00186,User186,15.27
U00187,User187,65.03
U00188,User188,8.82
U00189,User189,29.45
U00190,User190,38.54
U00191,User191,84.16
U00192,User192,97.96
U00193,User193,59.18
U00194,User194,35.08
U00195,User195,21.01
U00196,User196,43.39
U00197,User197,19.03
U00198,User198,76.53
U00199,User199,47.21
U00200,User200,60.72
U00201,User201,92.53
U00202,User202,52.36
U00203,User203,11.12
U00204,User204,9.91
U00205,User205,70.36
U00206,User206,93.33
U00207,User207,6.28
U00208,User208,54.74
U00209,User209,97.25
U00210,User210,68.1
U00211,User211,40.23
U00212,User212,78.18
U00213,User213,8.2
U00214,User214,98.34
U00215,User215,27.43
U00216,User216,62.01
U00217,User217,46.17
U00218,User218,22.0
U00219,User219,87.94
U00220,User220,85.04
U00221,User221,51.5
U00222,User222,27.07
U00223,User223,68.92
U00224,User224,68.94
U00225,User225,78.93
U00226,User226,98.71
U00227,User227,1.26
U00228,User228,56.68
U00229,User229,56.45
U00230,User230,94.5
U00231,User231,92.72
U00232,User232,23.1
U00233,User233,12.41
U00234,User234,82.9
U00235,User235,35.0
U00236,User236,74.45
U00237,User237,80.05
U00238,User238,31.13
U00239,User239,33.16
U00240,User240,28.84
U00241,User241,1.63
U00242,User242,69.52
U00243,User243,24.03
U00244,User244,75.92
U00245,User245,30.76
U00246,User246,55.12
U00247,User247,96.17
U00248,User248,38.11
U00249,User249,30.02
U00250,User250,22.11
U00251,User251,95.56
U00252,User252,33.03
U00253,User253,63.22
U00254,User254,57.2
U00255,User255,2.62
U00256,User256,16.75
U00257,User257,69.08
U00258,User258,52.16
U00259,User259,49.93
U00260,User260,95.22
U00261,User261,71.42
U00262,User262,46.2
U00263,User263,61.41
U00264,User264,32.33
U00265,User265,91.71
U00266,User266,59.43
U00267,User267,99.19
U00268,User268,39.67
U00269,User269,97.87
U00270,User270,32.79
U00271,User271,10.65
U00272,User272,91.49
U00273,User273,88.37
U00274,User274,52.22
U00275,User275,68.25
U00276,User276,55.69
U00277,User277,44.61
U00278,User278,92.92
U00279,User279,41.32
U00280,User280,84.56
U00281,User281,67.15
U00282,User282,81.87
U00283,User283,39.6
U00284,User284,16.77
U00285,User285,12.17
U00286,User286,14.76
U00287,User287,13.92
U00288,User288,86.63
U00289,User289,32.81
U00290,User290,43.28
U00291,User291,85.01
U00292,User292,31.0
U00293,User293,40.45
U00294,User294,75.65
U00295,User295,57.09
U00296,User296,54.84
U00297,User297,32.87
U00298,User298,38.78
U00299,User299,10.55
U00300,User300,94.01
U00301,User301,14.61
U00302,User302,38.08
U00303,User303,44.46
U00304,User304,57.42
U00305,User305,14.85
U00306,User306,64.35
U00307,User307,33.84
U00308,User308,58.15
U00309,User309,66.0
U00310,User310,39.16
U00311,User311,2.81
U00312,User312,42.14
U00313,User313,16.06
U00314,User314,47.63
U00315,User315,42.11
U00316,User316,0.0
